symbol,bid,ask,spread,time
BTCUSDm,94649.24,94678.23,289900.0,2025-04-28 15:11:12.083
BTCUSDm,94650.14,94679.13,289900.0,2025-04-28 15:11:17.349
BTCUSDm,94641.74,94670.73,289900.0,2025-04-28 15:11:22.435
BTCUSDm,94649.27,94678.26,289900.0,2025-04-28 15:11:27.476
BTCUSDm,94669.53,94698.52,289900.0,2025-04-28 15:11:32.509
BTCUSDm,94712.22,94741.21,289900.0,2025-04-28 15:11:37.552
BTCUSDm,94708.74,94737.73,289900.0,2025-04-28 15:11:42.629
BTCUSDm,94697.4,94726.39,289900.0,2025-04-28 15:11:47.669
BTCUSDm,94704.74,94733.72,289800.0,2025-04-28 15:11:52.736
BTCUSDm,94695.56,94724.55,289900.0,2025-04-28 15:11:57.801
BTCUSDm,94679.21,94708.2,289900.0,2025-04-28 15:12:02.876
BTCUSDm,94684.12,94713.11,289900.0,2025-04-28 15:12:07.944
BTCUSDm,94684.22,94713.21,289900.0,2025-04-28 15:12:12.996
BTCUSDm,94683.73,94712.72,289900.0,2025-04-28 15:12:18.206
BTCUSDm,94684.14,94713.13,289900.0,2025-04-28 15:12:23.348
BTCUSDm,94684.12,94713.11,289900.0,2025-04-28 15:12:28.379
BTCUSDm,94693.51,94722.5,289900.0,2025-04-28 15:12:33.445
BTCUSDm,94705.1,94734.09,289900.0,2025-04-28 15:12:38.513
BTCUSDm,94689.59,94718.58,289900.0,2025-04-28 15:12:43.581
BTCUSDm,94682.68,94711.67,289900.0,2025-04-28 15:12:48.635
BTCUSDm,94681.81,94710.8,289900.0,2025-04-28 15:12:53.675
BTCUSDm,94683.37,94712.36,289900.0,2025-04-28 15:12:58.722
BTCUSDm,94664.2,94693.18,289800.0,2025-04-28 15:13:03.794
BTCUSDm,94665.83,94694.82,289900.0,2025-04-28 15:13:08.824
BTCUSDm,94653.3,94682.29,289900.0,2025-04-28 15:13:13.901
BTCUSDm,94635.6,94664.59,289900.0,2025-04-28 15:13:18.972
BTCUSDm,94637.89,94666.88,289900.0,2025-04-28 15:13:24.028
BTCUSDm,94646.48,94675.46,289800.0,2025-04-28 15:13:29.096
BTCUSDm,94646.89,94675.88,289900.0,2025-04-28 15:13:34.182
BTCUSDm,94650.88,94679.87,289900.0,2025-04-28 15:13:39.236
BTCUSDm,94660.38,94689.37,289900.0,2025-04-28 15:13:44.273
BTCUSDm,94675.77,94704.76,289900.0,2025-04-28 15:13:49.326
BTCUSDm,94675.84,94704.83,289900.0,2025-04-28 15:13:54.378
BTCUSDm,94669.16,94698.15,289900.0,2025-04-28 15:13:59.454
BTCUSDm,94692.94,94721.93,289900.0,2025-04-28 15:14:04.487
BTCUSDm,94693.82,94722.81,289900.0,2025-04-28 15:14:09.560
BTCUSDm,94693.83,94722.82,289900.0,2025-04-28 15:14:14.634
BTCUSDm,94693.83,94722.82,289900.0,2025-04-28 15:14:19.705
BTCUSDm,94695.38,94724.37,289900.0,2025-04-28 15:14:24.775
BTCUSDm,94706.12,94735.11,289900.0,2025-04-28 15:14:29.808
BTCUSDm,94705.64,94734.63,289900.0,2025-04-28 15:14:34.879
BTCUSDm,94707.77,94736.76,289900.0,2025-04-28 15:14:39.957
BTCUSDm,94708.09,94737.08,289900.0,2025-04-28 15:14:45.012
BTCUSDm,94709.02,94738.01,289900.0,2025-04-28 15:14:50.063
BTCUSDm,94708.4,94737.39,289900.0,2025-04-28 15:14:55.122
BTCUSDm,94697.5,94726.49,289900.0,2025-04-28 15:15:00.181
BTCUSDm,94735.96,94764.95,289900.0,2025-04-28 15:15:05.255
BTCUSDm,94736.58,94765.57,289900.0,2025-04-28 15:15:10.313
BTCUSDm,94730.19,94759.18,289900.0,2025-04-28 15:15:15.345
BTCUSDm,94753.93,94782.92,289900.0,2025-04-28 15:15:20.381
BTCUSDm,94769.88,94798.88,290000.0,2025-04-28 15:15:25.416
BTCUSDm,94769.91,94798.9,289900.0,2025-04-28 15:15:30.474
BTCUSDm,94765.84,94794.83,289900.0,2025-04-28 15:15:35.540
BTCUSDm,94770.07,94799.06,289900.0,2025-04-28 15:15:40.617
BTCUSDm,94773.58,94802.57,289900.0,2025-04-28 15:15:45.665
BTCUSDm,94771.61,94800.6,289900.0,2025-04-28 15:15:50.694
BTCUSDm,94758.96,94787.95,289900.0,2025-04-28 15:15:55.766
BTCUSDm,94760.72,94789.71,289900.0,2025-04-28 15:16:00.835
BTCUSDm,94770.67,94799.66,289900.0,2025-04-28 15:16:05.902
BTCUSDm,94766.31,94795.3,289900.0,2025-04-28 15:16:10.933
BTCUSDm,94765.49,94794.48,289900.0,2025-04-28 15:16:16.017
BTCUSDm,94797.86,94826.85,289900.0,2025-04-28 15:16:21.087
BTCUSDm,94787.94,94816.93,289900.0,2025-04-28 15:16:26.152
BTCUSDm,94774.47,94803.46,289900.0,2025-04-28 15:16:31.224
BTCUSDm,94776.51,94805.5,289900.0,2025-04-28 15:16:36.292
