symbol,bid,ask,spread,time
XAUUSDm,3287.022,3287.182,1600.0,2025-04-28 15:00:03.679
XAUUSDm,3287.17,3287.33,1600.0,2025-04-28 15:00:13.726
XAUUSDm,3286.564,3286.724,1600.0,2025-04-28 15:00:23.784
XAUUSDm,3286.961,3287.121,1600.0,2025-04-28 15:00:33.844
XAUUSDm,3287.7,3287.86,1600.0,2025-04-28 15:00:43.921
XAUUSDm,3288.239,3288.399,1600.0,2025-04-28 15:00:53.989
XAUUSDm,3287.553,3287.713,1600.0,2025-04-28 15:01:04.076
XAUUSDm,3286.963,3287.123,1600.0,2025-04-28 15:01:14.157
XAUUSDm,3286.753,3286.913,1600.0,2025-04-28 15:01:24.189
XAUUSDm,3286.623,3286.783,1600.0,2025-04-28 15:01:34.262
XAUUSDm,3286.553,3286.713,1600.0,2025-04-28 15:01:44.343
XAUUSDm,3286.666,3286.826,1600.0,2025-04-28 15:01:54.414
XAUUSDm,3286.362,3286.522,1600.0,2025-04-28 15:02:04.498
XAUUSDm,3286.189,3286.349,1600.0,2025-04-28 15:02:14.573
XAUUSDm,3286.516,3286.676,1600.0,2025-04-28 15:02:24.651
